title,tag,info,comments,content
如何假装懂音乐,豆瓣图书标签: 音乐,王硕、储智勇 / 北京联合出版公司 / 2019-7 / 49.8,(177人评价),《如何假装懂音乐》是中国最早也最具影响力的音乐自媒体“坏蛋调频”主理人王硕和储智勇二十年乐评生涯的集大成之作，用轻松幽默讲故事的风格，带领读者回顾了20世纪...
如何听爵士,豆瓣图书标签: 音乐,[美] 特德·焦亚 / 孙新恺 / 北京联合出版公司  未读·艺术家 / 2018-5-1 / 45.00元,(474人评价),"爵士乐的精髓何在？我们该如何品鉴大师级的演奏？即兴演奏就是随意发挥吗？为什么听、如何听、听什么、听谁的，有关爵士乐的种种疑问，你都将在这里找到答案。
美国杰..."
只是孩子,豆瓣图书标签: 音乐,[美] 帕蒂·史密斯 / 刘奕 / 理想国 | 广西师范大学出版社 / 2017-1 / 65.00元,(2076人评价),"这是爱的夏天，也是躁动的夏天，一次在布鲁克林的偶遇，将两个年轻人引向了艺术、奉献和启蒙的道路。
日后，帕蒂·史密斯会成为一名诗人和表演者，罗伯特·梅普尔索普..."
听音乐（插图第6版）,豆瓣图书标签: 音乐,罗杰·凯密恩（Roger Kamien） / 王美珠、洪崇焜、陈美鸾、杨湘玲 / 世界图书出版公司 / 2008-6 / 78.00元,(1383人评价),"作为一部多次再版的古典与现代音乐教科书，罗杰·凯密恩的《听音乐》以其独特的角度为读者展现了音乐的魅力。
作者首先介绍了掌握音乐的一些基本乐理与技巧，并通过各..."
认识乐理,豆瓣图书标签: 音乐,Bruce Benward、Barbara Garvey Jackson、Bruce R. Jackson / 蒋瑀 / 北京联合出版公司·后浪出版公司 / 2016-7 / 68.00元,(183人评价),"不管学习哪种乐器，乐理知识必不可少！
无需音乐基础，从零开始，轻松走进音乐世界！
..................
※编辑推荐※
☆ 美国高校经典教材，..."
西方文明中的音乐,豆瓣图书标签: 音乐,[美]保罗•亨利•朗 / 张洪岛、杨燕迪、汤亚汀、杨燕迪 校 / 广西师范大学出版社 / 2014-6 / 198.00元,(219人评价),如书名所示，《西方文明中的音乐》旨在以“西方文明”为整体舞台，展示音乐艺术在近三千年（自古希腊至20世纪初）的漫长历程中所扮演的戏剧性角色。由此出发，《西方...
地下乡愁蓝调,豆瓣图书标签: 音乐,马世芳 / 广西师范大学出版社 / 2007-10 / 34.00元,(5071人评价),"这不仅仅是一本乐评集。
这是一本披着音乐外衣的青春事件簿，一部关于已逝年代的往事纪念册。
一九七一年，史上最伟大的摇滚乐团披头士已经解散；乐史""三J”——吉..."
乐之本事,豆瓣图书标签: 音乐,焦元溥 / 广西师范大学出版社 / 2015-8-1 / CNY 58.00,(1941人评价),如果你对古典音乐有兴趣，或准备想要进一步了解它，希望这本书能够提供协助；如果你对古典音乐没有兴趣，这本书有丰富的故事和知识，翻翻看看，或许也能触类旁通；如果...
爵士乐如何思考,豆瓣图书标签: 音乐,[美]保罗·F.伯利纳 / 任达敏 / 译林出版社 / 2019-8 / 188.00元,(少于10人评价),人们通常认为，爵士乐是一种即兴演奏的艺术。即便是两位素不相识的爵士乐手，只要一同登台，就能演奏出一连串和谐而美妙的音符。这些精彩绝伦的乐思，究竟是如何产生的...
小夜曲,豆瓣图书标签: 音乐,[英] 石黑一雄 / 张晓意 / 上海译文出版社 / 2011-4 / 27.00元,(5409人评价),本书是作者的第一部短篇集，全书以音乐为线索，由五个看似独立却又相互关联的故事组成。故事的主要人物都同音乐情牵相关：郁郁不得志的餐厅乐手，风光不再的过气歌星，...
